spiketime,electrodes
1548.3,57
1561.5,57
1569.4,57
1576.8,57
1585.0,51
1585.4,57
1592.6,57
1595.0,43
1600.6,57
1610.9,43
1615.9,57
1616.4,22
1623.1,45
1626.3,43
1629.7,28
1629.8,45
1630.3,46
1631.8,47
1635.2,47
1636.2,28
1640.6,28
1641.5,60
1641.8,46
1641.9,51
1643.0,47
1647.3,36
1648.5,60
1649.1,42
1649.7,45
1650.2,47
1651.2,40
1652.2,45
1652.2,59
1652.3,28
1652.3,47
1653.8,57
1654.4,28
1654.7,50
1654.7,51
1654.7,55
1654.8,1
1655.0,38
1655.0,46
1655.2,36
1655.2,47
1656.7,53
1657.0,28
1657.1,22
1657.4,47
1657.7,38
1657.8,57
1657.9,6
1658.0,45
1658.4,46
1659.1,14
1659.1,20
1659.7,28
1660.1,22
1660.3,47
1660.6,6
1661.5,1
1662.0,28
1662.1,36
1662.3,22
1662.4,42
1662.7,47
1663.1,6
1664.0,28
1664.4,40
1664.6,38
1664.7,11
1664.7,22
1665.2,20
1665.4,36
1665.5,42
1666.1,17
1666.1,45
1666.5,50
1666.9,57
1667.0,28
1667.1,47
1667.2,29
1667.4,36
1668.2,17
1668.2,40
1668.3,6
1669.5,51
1669.7,22
1670.1,57
1670.2,47
1670.5,28
1670.6,6
1670.7,20
1671.0,16
1671.1,10
1671.6,7
1671.8,22
1674.0,45
1674.0,60
1674.5,36
1674.7,47
1674.9,38
1675.2,46
1675.8,17
1677.1,42
1677.2,22
1677.6,20
1678.4,47
1679.5,16
1679.9,20
1680.0,51
1680.1,13
1680.3,14
1680.6,22
1682.1,28
1683.5,47
1684.5,57
1685.0,46
1686.4,13
1687.1,20
1690.5,16
1691.0,46
1691.2,47
1691.6,45
1691.9,36
1691.9,50
1692.3,40
1692.4,20
1693.9,22
1695.2,20
1701.6,38
1702.5,57
1703.2,20
1704.5,57
1704.7,47
1704.9,6
1705.0,28
1705.1,40
1705.6,36
1706.7,22
1708.1,20
1709.4,22
1715.2,4
1719.0,38
1719.0,47
1719.8,57
1720.4,60
1723.4,20
1733.9,38
1733.9,40
1735.8,11
1736.6,57
1736.9,60
1738.9,16
1751.8,40
1752.1,57
1753.9,20
1755.2,57
1770.9,20
1778.1,51
1780.8,40
1804.2,47
1806.7,57
1809.7,60
1810.5,40
1813.4,47
1820.1,11
1829.5,51
1843.2,20
1849.9,16
1852.3,36
1855.0,50
1881.9,20
1883.9,36
1886.5,47
1907.3,47
1914.6,51
1921.7,47
1925.2,36
1930.1,16
1939.7,47
1941.8,36
1955.5,36
1969.5,36
1969.5,47
1970.1,46
1971.6,16
1982.4,20
1988.4,47
1988.5,36
2010.2000000000003,16
2010.2000000000003,36
2010.5,20
2018.3,47
2028.7000000000003,36
2033.1000000000001,20
2035.9000000000003,16
2050.9,47
2067.6,51
2069.1,47
2071.0,36
2095.1,36
2097.6,47
2103.7,51
2110.5,51
2121.3,36
2127.7,51
2132.9,47
2157.6,47
2179.2,47
2732.1,51
3091.6,51
3395.0,51
3763.9,51
4157.2,51
4520.7,51
4982.4,51
5223.6,51
11174.4,51
11333.0,51
11556.2,51
11740.9,51
11914.5,51
12096.5,51
12280.2,51
12512.0,51
12717.5,51
12942.8,51
13291.4,51
13603.3,51
13980.3,51
13993.8,57
13997.4,57
14008.3,57
14011.9,57
14016.7,57
14017.4,51
14030.9,43
14033.8,57
14037.0,43
14050.2,46
14054.3,51
14059.8,45
14062.0,57
14065.7,28
14066.9,26
14067.4,45
14067.9,47
14069.6,28
14070.9,13
14071.2,17
14072.2,28
14074.2,17
14074.5,46
14074.6,43
14075.6,42
14076.5,47
14077.4,45
14077.5,60
14078.2,57
14078.5,28
14078.5,47
14078.6,50
14079.2,1
14079.3,35
14079.7,38
14079.7,46
14079.7,51
14080.0,20
14080.0,36
14080.2,22
14081.1,47
14081.5,13
14081.8,50
14082.2,28
14082.5,57
14083.0,22
14083.1,47
14083.4,53
14084.1,42
14084.3,46
14084.4,38
14084.5,40
14084.6,14
14084.6,57
14084.9,1
14085.7,6
14085.8,19
14086.2,22
14086.4,38
14087.0,1
14087.1,17
14087.3,36
14087.4,47
14087.5,24
14087.8,20
14087.8,28
14087.9,29
14088.3,42
14088.9,45
14089.0,22
14089.5,7
14089.5,38
14089.5,57
14089.8,17
14089.9,47
14090.1,36
14090.5,40
14090.6,28
14090.9,26
14091.0,16
14091.5,55
14091.8,57
14092.0,22
14092.1,47
14093.7,6
14094.0,16
14094.1,28
14094.2,20
14094.3,24
14094.7,17
14094.8,51
14095.4,1
14095.4,22
14095.6,47
14095.8,13
14095.9,46
14096.0,6
14096.0,16
14096.0,38
14096.0,42
14096.2,20
14096.2,36
14096.7,14
14096.9,51
14097.4,57
14098.0,1
14098.0,28
14098.5,22
14098.5,45
14098.5,50
14098.6,43
14098.8,36
14098.9,17
14099.0,47
14099.2,55
14099.9,11
14099.9,57
14100.3,6
14101.2,22
14101.2,28
14101.4,17
14101.6,47
14102.0,20
14102.3,6
14102.5,26
14102.5,36
14103.6,16
14103.8,22
14103.9,51
14104.0,20
14105.3,47
14105.9,46
14106.6,6
14109.1,51
14109.7,28
14110.5,22
14110.6,19
14110.8,10
14110.8,57
14111.9,38
14112.3,6
14112.5,28
14112.7,42
14114.6,6
14114.8,47
14116.1,36
14121.3,20
14122.5,47
14127.8,11
14127.9,20
14128.3,36
14129.0,38
14129.7,57
14129.9,24
14130.3,28
14131.7,57
14131.7,60
14133.5,36
14134.3,50
