spiketime,electrodes
11076.0,3
11088.5,9
11089.8,3
11092.4,56
11099.5,5
11102.2,9
11109.6,59
11120.6,59
11121.6,46
11121.9,49
11122.0,56
11122.8,18
11123.1,59
11124.7,49
11130.5,56
11130.9,50
11131.1,52
11132.2,9
11135.3,49
11135.4,55
11135.6,51
11137.5,25
11138.6,49
11138.8,30
11138.8,50
11139.7,56
11140.1,25
11140.6,18
11140.7,4
11141.3,17
11142.7,4
11142.7,9
11143.1,34
11143.3,30
11143.4,39
11145.7,36
11147.5,29
11147.6,9
11148.3,49
11148.5,25
11148.9,57
11149.4,50
11149.9,55
11150.1,18
11151.4,25
11151.4,39
11152.0,21
11152.1,9
11153.0,31
11153.3,6
11155.5,49
11155.7,46
11157.5,49
11158.3,50
11158.4,59
11160.7,56
11161.1,39
11162.1,50
11167.2,50
11169.4,30
11171.3,6
11171.6,49
11171.6,50
11171.8,41
11173.5,27
11173.6,39
11173.6,55
11174.1,57
11174.4,29
11174.5,43
11174.7,18
11175.0,4
11175.0,49
11176.8,25
11177.8,29
11181.9,56
11182.0,6
11189.5,30
11191.5,51
11191.5,53
11191.6,50
11191.7,52
11192.5,29
11194.2,31
11195.3,50
11195.9,9
11206.5,50
11207.0,55
11212.4,50
11215.0,9
11221.7,42
11222.3,51
11222.9,53
11225.7,50
11226.5,43
11227.8,50
11228.9,56
11249.7,52
11253.6,42
11254.7,55
11255.4,41
11257.1,25
11268.6,6
11276.4,42
11282.4,43
12683.9,54
20207.0,56
20993.0,5
21024.2,9
21029.0,59
21030.1,9
21031.1,49
21033.5,50
21035.2,56
21039.2,49
21039.7,43
21040.0,55
21040.7,38
21041.1,48
21041.2,50
21041.4,4
21042.8,27
21043.0,49
21043.0,55
21043.2,48
21043.7,9
21043.8,47
21044.0,18
21044.7,50
21045.8,6
21045.9,57
21047.8,56
21048.0,4
21048.2,57
21048.5,6
21048.5,34
21048.5,50
21048.7,17
21050.1,51
21050.5,49
21051.7,50
21052.2,21
21052.8,29
21053.8,50
21054.0,57
21054.4,56
21054.9,4
21055.0,25
21055.3,48
21056.1,6
21058.8,49
21066.3,9
21066.4,50
21067.2,53
21068.4,50
21069.5,51
21070.4,55
21071.2,6
21071.3,30
21071.3,50
21072.7,25
21073.7,30
21073.7,49
21074.0,57
21074.3,29
21078.8,25
21079.9,55
21079.9,56
21083.7,56
21086.8,50
21091.3,50
21092.6,21
21093.4,22
21095.4,38
21096.0,51
21097.0,30
21098.1,50
21099.1,49
21099.2,25
21100.1,50
21100.2,6
21102.9,50
21103.4,49
21103.5,57
21104.8,9
21104.9,50
21106.1,29
21108.4,50
21118.9,53
21120.8,50
21128.7,6
21132.9,39
21135.2,42
21148.0,43
21156.8,50
21161.9,34
21163.7,38
21165.4,57
21166.3,3
21166.7,6
21168.0,31
21170.3,17
21201.4,6
21211.7,38
21212.0,34
21212.4,52
21213.8,3
21214.3,50
21214.4,59
21216.6,56
21218.9,34
21251.8,52
21269.9,55
21273.5,55
21280.2,57
21281.6,55
21295.7,55
21398.6,19
25723.5,54
28133.6,9
28148.2,59
28152.6,41
28157.8,9
28158.4,17
28159.9,56
28161.7,49
28163.5,42
28167.1,50
28168.0,49
28169.2,56
28169.4,17
28170.5,9
28174.5,49
28176.3,41
28176.3,50
28179.7,50
28180.4,55
28183.9,5
28185.8,43
28186.3,3
28186.3,4
28186.7,49
28189.0,36
28189.5,4
28189.8,59
28189.9,56
28190.3,34
28190.5,9
28191.8,47
28191.9,56
28192.6,25
28195.1,51
28195.4,30
28195.4,55
28203.7,50
28203.9,41
28205.6,51
28208.0,49
28210.3,52
28211.4,55
28211.5,49
28212.6,56
28214.1,43
28214.4,17
28216.0,30
28218.6,51
28220.4,3
28223.5,36
28223.7,25
28224.6,50
28225.2,49
28226.7,4
28227.5,34
28232.0,56
28235.5,50
28235.7,56
28239.3,30
28242.4,52
28243.3,51
28245.0,3
28246.7,49
28247.9,50
28248.9,56
28259.0,3
28266.4,49
28270.0,49
28271.7,50
28277.6,47
28281.0,43
28282.7,49
28285.4,56
28288.2,39
28289.2,52
28290.7,50
28296.8,56
28299.9,49
28321.9,52
28323.9,49
28326.7,56
28330.8,46
28351.7,52
28356.8,49
28358.0,36
28361.0,47
28362.4,49
29154.9,59
29163.4,56
29174.3,38
29178.0,46
29182.0,49
29189.6,49
29192.3,50
29194.4,57
29196.9,56
29200.1,49
29200.2,38
29202.0,46
29204.5,9
29206.6,50
29208.4,17
29209.0,56
29209.6,59
29217.0,49
29219.0,9
29219.0,55
29220.9,50
29221.2,52
29221.7,46
29223.0,49
29223.4,5
29223.4,56
29224.1,3
29227.2,38
29229.4,4
29234.1,47
29235.2,55
29235.7,46
29237.8,49
29239.4,48
29240.3,34
29241.6,47
29242.0,56
29245.4,34
29246.6,17
29247.2,5
29247.2,36
29248.2,59
29248.6,56
29251.2,46
29254.2,56
29254.8,49
29256.7,56
29258.4,47
29258.7,46
29261.5,38
29263.0,55
29266.1,59
29266.5,49
29267.0,50
29268.1,56
29268.6,49
29270.1,56
29272.1,47
29272.9,49
29275.3,5
29277.5,52
29280.3,47
29282.0,55
29284.1,38
29285.7,56
29285.8,46
29287.4,9
29290.5,49
29291.1,50
29291.2,51
29291.6,47
29299.4,59
29301.6,46
29304.3,47
29305.8,21
29308.5,55
29308.8,56
29309.0,5
29309.9,46
29310.3,38
29310.6,49
29312.5,55
29313.4,56
29324.6,51
29327.7,59
29332.1,52
29343.7,38
29344.2,46
29344.4,55
29347.3,47
29348.4,59
29349.0,56
29349.1,49
29352.9,49
29356.4,52
29363.9,5
29367.6,49
29380.8,46
29384.3,49
29384.4,41
29397.0,21
29433.1,46
29436.2,49
29438.6,38
29533.4,46
32820.0,56
37067.1,49
37070.1,37
37073.1,56
37076.2,50
37079.7,39
37080.0,25
37081.9,21
37082.3,25
37087.4,50
37093.1,48
37094.6,50
37100.2,50
37101.8,6
37102.6,4
37102.8,57
37103.1,39
37103.7,21
37103.7,50
37104.1,29
37104.3,56
37104.9,9
37105.0,27
37105.4,30
37105.5,55
37105.5,57
37105.6,34
37106.7,50
37108.1,25
37108.6,49
37110.6,50
37116.5,6
37120.9,50
37121.4,53
37122.1,51
37122.2,55
37122.6,9
37122.9,21
37123.5,29
37123.6,50
37124.2,6
37124.9,57
37125.0,49
37126.8,56
37128.3,50
37136.0,29
37137.6,53
37137.7,9
37138.7,29
37139.8,42
37139.9,50
37141.0,41
37142.8,49
37143.1,46
37143.6,56
37144.9,6
37154.7,56
37154.8,59
37156.9,43
37161.4,53
37162.4,29
37163.3,57
37164.6,25
37179.2,53
37181.8,50
37184.7,50
37195.2,9
37196.5,42
37197.3,56
37206.8,50
37215.3,43
37236.6,36
37246.2,59
47935.5,56
47940.6,50
47942.3,22
47942.8,6
47945.0,34
47945.6,56
47946.7,50
47949.9,36
47950.3,9
47950.3,30
47950.3,51
47951.1,18
47951.3,4
47951.3,21
47953.7,39
47953.9,29
47954.2,30
47954.6,38
47955.9,34
47956.7,50
47956.9,49
47957.6,25
47961.7,59
47963.3,9
47969.5,30
47970.4,41
47972.1,21
47976.3,55
47976.8,49
47978.2,25
47981.6,30
47983.9,47
47986.3,49
47986.8,59
47988.6,36
47989.2,39
47991.0,57
47994.2,50
48008.7,49
48011.1,25
48012.9,47
48013.1,25
48017.8,39
48018.5,31
48024.4,59
48026.1,43
48030.5,42
48032.9,34
48033.5,57
48042.9,6
48046.1,52
48046.9,50
48082.2,52
48082.6,53
48082.9,55
48082.9,59
48083.7,3
48084.7,56
48085.0,18
48087.0,44
48098.6,36
48121.4,56
48127.3,52
48138.1,50
48140.9,36
48185.5,42
48199.7,49
48214.2,50
48223.6,53
48227.0,56
48227.4,50
48231.7,34
48245.2,49
48245.5,57
49141.7,49
52803.5,56
52853.7,52
52856.6,21
52872.7,38
52873.1,41
52876.7,36
52877.0,49
52879.7,50
52880.0,59
52888.0,18
52892.6,59
52893.7,56
52895.3,4
52896.3,49
52898.7,49
52898.9,38
52900.3,6
52900.3,48
52903.0,46
52905.3,50
52905.3,52
52905.6,51
52905.9,49
52906.2,56
52906.4,39
52906.5,34
52907.1,41
52907.8,17
52907.9,49
52908.4,35
52908.5,9
52911.0,6
52911.3,3
52911.3,50
52911.9,34
52912.0,59
52912.7,52
52913.8,56
52914.9,50
52915.0,49
52915.2,9
52915.5,38
52915.6,4
52916.9,30
52918.9,25
52920.0,51
52920.1,21
52922.1,21
52924.7,49
52927.3,57
52928.1,49
52928.3,50
52930.2,36
52931.7,9
52933.9,53
52934.7,4
52934.8,25
52935.9,47
52936.2,50
52936.9,30
52937.0,21
52937.0,25
52937.9,4
52938.0,41
52939.6,50
52941.0,43
52943.6,49
52943.7,43
52948.7,49
52949.9,50
52952.1,25
52956.1,57
52968.5,53
52981.3,43
52988.9,49
52990.0,47
52997.1,50
52997.8,42
53008.1,52
53009.4,55
53009.4,56
53011.6,50
53013.6,49
53040.1,43
53194.6,59
53197.1,56
53265.7,59
53290.4,56
59573.5,32
59599.6,21
59600.3,36
59600.3,50
59605.9,21
59610.3,49
59612.2,21
59613.1,30
59613.1,57
59613.2,25
59613.9,4
59614.2,17
59614.2,50
59616.4,38
59616.4,56
59616.5,9
59617.7,43
59619.0,55
59619.6,56
59620.6,48
59633.2,34
59634.7,25
59636.0,53
