spiketime,electrodes
4557.2,59
6850.3,59
11369.4,53
11382.9,53
11385.6,46
11391.5,60
11395.2,53
11395.7,27
11395.8,50
11395.8,57
11398.6,53
11400.6,49
11401.6,46
11403.0,57
11403.1,53
11404.3,3
11404.6,27
11404.6,60
11405.1,57
11405.5,58
11405.7,44
11405.9,53
11406.2,19
11406.6,39
11407.2,57
11407.3,46
11407.4,13
11407.5,31
11407.7,44
11407.8,49
11408.7,9
11408.7,54
11409.0,27
11409.3,46
11409.7,53
11409.8,13
11410.2,49
11412.7,53
11412.9,45
11413.2,19
11414.0,57
11414.6,8
11415.2,3
11415.6,9
11416.5,27
11416.5,53
11416.7,8
11416.9,13
11416.9,35
11416.9,57
11417.5,30
11417.5,56
11418.1,10
11418.6,9
11418.7,31
11418.8,7
11419.0,53
11419.6,49
11420.4,56
11420.9,10
11421.7,57
11422.2,52
11422.3,46
11422.4,53
11423.4,31
11424.0,45
11424.5,53
11425.1,13
11426.4,27
11426.4,57
11427.1,7
11427.3,13
11427.4,45
11427.9,53
11429.3,27
11429.4,8
11429.5,45
11429.6,49
11430.2,9
11430.2,35
11431.0,54
11431.3,57
11431.4,52
11431.4,56
11431.5,8
11432.1,53
11432.2,60
11433.2,31
11434.6,39
11435.3,53
11436.1,9
11436.5,13
11437.3,25
11438.3,10
11438.9,27
11439.2,8
11439.9,7
11440.3,9
11441.0,35
11441.2,8
11441.9,57
11442.7,49
11444.0,57
11444.9,8
11445.6,53
11447.5,13
11447.8,39
11449.1,27
11449.9,53
11450.5,45
11451.2,19
11452.7,31
11452.8,44
11454.4,35
11455.0,9
11456.1,10
11459.4,13
11459.8,27
11460.8,44
11461.0,57
11461.4,13
11461.7,53
11462.4,46
11462.5,48
11463.5,39
11465.7,8
11467.7,35
11467.8,8
11468.9,13
11469.7,53
11472.2,19
11472.8,31
11472.9,13
11473.2,27
11473.8,23
11473.9,57
11474.3,8
11476.1,13
11476.3,8
11478.4,8
11480.7,31
11480.7,53
11480.9,50
11481.3,57
11482.8,53
11483.0,46
11484.1,31
11484.6,44
11485.3,13
11489.0,27
11489.9,57
11491.2,53
11491.5,19
11492.3,39
11492.8,44
11493.7,27
11494.4,46
11495.2,53
11496.2,8
11496.3,56
11496.9,46
11498.2,8
11499.3,13
11500.1,50
11500.7,53
11503.5,48
11504.4,10
11506.9,27
11508.2,57
11510.0,46
11522.7,9
11523.4,40
11532.9,8
11535.5,8
11544.7,57
11546.7,4
11565.1,57
11571.5,27
11591.1,57
11593.7,4
11690.2,57
11700.2,53
11710.7,57
11713.0,4
11770.4,50
16819.6,53
16820.3,57
16824.2,9
16824.7,57
16825.1,53
16826.0,46
16829.9,7
16830.1,19
16830.2,57
16830.4,53
16832.5,53
16832.8,27
16832.8,31
16833.0,9
16833.3,30
16833.4,8
16833.4,38
16833.4,43
16833.5,39
