spiketime,electrodes
2.5,44
3.2,17
3.3,16
3.3,33
3.5,53
5.8,13
9.3,32
9.4,7
10.5,50
13.6,51
15.4,3
15.8,41
16.5,16
18.4,60
19.2,7
22.4,50
23.8,32
25.0,44
27.6,41
30.0,7
30.0,16
30.5,13
30.9,22
31.5,17
34.2,50
34.3,33
35.0,29
38.1,50
39.2,7
40.6,46
41.1,60
41.8,3
43.7,59
44.0,16
44.3,53
44.8,4
45.7,18
51.4,7
53.9,3
55.8,50
56.5,13
57.1,60
57.6,20
58.3,16
59.5,41
66.3,7
66.9,3
70.1,50
70.8,17
70.8,53
73.5,41
75.0,29
75.0,32
80.2,7
80.5,3
83.4,50
91.6,20
92.9,3
98.6,50
99.7,41
103.7,7
110.2,32
112.3,3
115.8,7
123.4,3
124.6,41
125.3,20
125.4,29
125.6,42
127.0,53
128.3,16
131.2,7
137.2,13
137.9,32
138.2,3
139.3,41
140.8,53
144.5,7
149.1,13
150.1,3
154.7,53
157.9,7
160.7,13
172.2,3
172.2,13
172.9,7
189.3,53
192.2,7
196.7,44
200.6,13
202.7,17
206.5,7
219.9,13
225.0,7
238.9,50
258.4,50
267.8,7
286.7,7
295.5,13
324.7,13
348.4,54
354.7,13
373.6,3
376.2,41
381.5,16
381.5,21
382.2,29
387.4,60
392.8,3
397.0,41
397.5,17
402.4,4
412.4,3
413.4,17
416.8,13
429.3,3
430.2,17
439.0,41
458.2,3
459.0,41
470.7,17
477.1,41
477.2,13
488.3,17
501.1,41
505.9,17
507.1,13
525.0,60
527.5,17
528.6,13
546.3,60
548.7,17
566.5,13
574.4,17
581.8,60
584.9,41
586.0,13
587.9,42
603.7,41
608.4,13
609.2,60
621.7,49
625.8,4
626.3,36
626.6,41
627.8,53
629.4,60
633.6,7
638.5,45
646.9,7
647.0,36
649.2,60
649.4,41
657.1,41
661.6,36
664.1,36
664.1,60
666.0,50
666.2,22
666.7,45
668.6,12
668.9,52
672.7,23
673.0,53
673.1,60
673.3,41
673.8,36
674.0,3
675.1,8
675.2,50
676.4,6
676.5,12
676.6,22
678.3,55
678.6,60
679.0,52
682.0,41
687.1,60
687.3,49
688.4,22
688.7,23
689.1,53
689.2,29
689.8,60
689.9,41
690.5,36
691.1,22
694.2,22
698.7,45
699.5,41
699.9,29
700.9,60
701.5,36
701.9,52
702.0,53
702.3,49
702.6,29
703.2,13
703.4,59
703.9,16
704.0,23
704.3,30
704.9,36
705.1,22
706.3,19
707.1,20
708.2,21
708.7,41
712.0,41
713.1,21
713.5,19
714.3,22
715.2,29
715.5,60
715.8,21
716.0,16
717.3,58
717.5,53
717.7,22
718.0,60
718.6,41
719.6,29
720.6,30
721.6,45
725.5,47
726.7,3
726.8,55
727.2,59
727.7,6
728.0,60
729.3,52
730.1,53
730.3,21
730.4,59
730.8,50
731.9,29
732.6,7
733.7,41
735.6,36
736.3,40
736.4,45
737.0,60
737.2,30
737.5,59
737.9,44
738.0,22
738.2,32
738.5,29
738.6,16
739.3,36
739.4,33
739.5,60
739.6,41
740.0,53
740.8,22
740.8,26
741.1,29
741.3,52
742.0,32
742.2,19
742.3,24
743.9,29
744.9,22
745.1,26
745.3,16
745.4,60
747.5,45
748.1,44
748.9,47
749.3,21
749.3,60
749.5,22
749.5,29
749.5,50
750.0,3
750.0,45
750.3,59
750.4,43
750.6,40
750.6,53
752.1,30
752.3,52
752.4,6
752.6,22
752.6,29
752.7,20
752.7,60
753.2,36
753.3,24
753.5,18
753.5,44
753.6,40
753.6,41
753.6,59
754.3,26
754.5,21
755.1,32
758.4,49
761.3,60
762.3,41
762.9,55
763.0,36
763.1,45
763.5,6
763.8,59
763.9,3
764.0,60
764.5,22
764.5,53
765.0,30
765.8,33
765.9,20
765.9,29
766.0,6
767.0,4
767.1,13
768.9,6
769.0,40
769.6,41
770.6,42
771.1,7
771.2,60
771.3,5
771.3,44
772.7,55
772.7,59
772.8,41
772.8,45
773.0,22
773.1,19
773.5,6
773.6,30
773.7,36
773.8,21
774.0,3
774.4,20
775.2,18
775.8,59
775.9,2
776.2,32
776.4,29
776.5,43
776.6,22
776.8,24
777.1,12
777.4,20
777.5,16
777.6,37
778.6,6
778.7,45
779.1,32
779.5,41
779.7,40
781.3,44
781.6,59
782.2,45
782.6,42
782.9,41
783.8,44
783.8,60
784.3,6
784.6,30
784.8,36
784.8,59
785.0,8
785.1,7
785.1,22
785.4,53
785.5,13
785.9,29
786.4,55
788.9,44
790.9,40
791.0,32
793.2,30
793.4,40
793.8,33
793.9,53
793.9,59
794.2,41
794.3,60
795.1,36
795.3,3
795.3,31
795.3,44
795.3,45
795.4,50
796.5,49
796.8,53
797.4,29
797.7,9
798.0,44
798.1,16
798.9,22
799.0,2
799.3,60
799.6,6
799.8,7
801.6,9
802.1,22
803.1,7
803.7,6
804.8,41
805.1,32
805.1,36
805.2,30
805.5,42
806.1,59
806.2,7
806.3,2
806.3,56
806.4,21
806.5,55
807.2,8
807.2,60
807.4,3
807.4,29
807.6,22
807.9,11
807.9,33
807.9,53
808.4,50
808.5,24
809.2,7
809.4,26
809.8,59
809.9,9
810.1,6
810.3,32
810.7,28
811.1,60
811.2,29
811.3,1
811.5,43
812.3,34
812.6,36
813.0,13
814.2,45
814.3,40
815.4,30
815.9,6
815.9,20
816.4,42
816.5,44
816.8,40
816.9,22
817.0,59
817.8,25
817.9,29
818.7,26
818.7,41
819.3,44
819.4,37
819.6,59
819.7,49
819.7,60
820.0,6
820.0,50
820.4,7
820.4,28
820.4,53
820.5,2
820.6,27
820.9,8
821.1,36
823.1,49
824.7,29
825.5,30
826.0,43
826.0,45
826.6,42
827.1,44
827.3,31
827.4,33
827.5,32
828.4,29
828.5,36
828.6,59
828.8,26
828.8,41
829.1,30
829.1,34
829.3,38
829.5,22
829.6,42
829.7,44
829.7,45
829.8,13
830.8,2
831.0,16
831.1,5
831.6,7
831.7,59
831.9,6
832.3,52
832.9,54
833.5,60
833.6,53
834.5,49
836.0,45
837.4,30
837.6,42
837.7,33
837.7,44
838.2,32
838.4,22
839.0,40
839.3,26
839.4,36
839.6,20
839.6,29
840.1,24
840.9,49
841.2,22
842.2,4
842.3,8
842.8,3
843.1,43
843.4,60
843.5,5
844.1,9
844.4,7
845.5,44
845.8,22
847.0,36
847.7,32
848.0,44
848.4,45
848.7,30
849.1,41
849.2,40
849.6,33
850.0,43
850.9,45
851.1,49
851.2,59
851.4,48
851.7,20
852.2,14
852.2,55
852.4,2
852.6,8
852.7,6
853.2,53
853.6,29
853.9,13
853.9,59
854.0,28
854.2,16
854.2,25
855.9,7
856.8,32
857.6,44
857.6,45
858.5,40
859.1,41
860.1,49
861.7,6
863.1,20
863.7,22
863.8,59
864.0,13
864.5,30
864.7,6
865.0,7
865.5,44
865.8,50
866.3,59
866.7,26
866.7,45
867.4,53
867.5,49
868.2,33
868.3,7
868.4,40
868.4,44
868.8,41
868.9,8
869.3,36
869.3,42
869.7,16
870.4,50
872.0,28
872.4,13
872.5,30
873.1,29
873.9,59
874.2,24
874.5,32
875.0,20
875.7,49
877.0,31
877.4,59
877.6,6
877.8,7
878.0,8
878.1,40
878.9,48
879.1,53
879.2,44
879.4,41
879.5,60
879.8,49
879.9,59
880.4,36
880.5,39
882.6,32
885.5,22
886.4,10
887.8,51
888.0,7
888.0,13
888.4,26
888.6,30
888.9,42
889.1,45
889.2,6
889.2,31
889.6,49
889.9,50
890.0,32
890.4,53
890.6,41
891.1,36
891.1,44
892.8,6
897.2,45
897.5,7
897.6,30
898.2,40
898.3,29
899.2,33
899.4,59
899.5,42
899.6,20
899.8,16
900.1,22
900.1,26
900.2,6
900.5,32
900.6,60
900.8,41
901.0,50
901.2,45
901.4,7
901.5,24
901.5,44
901.7,49
902.0,53
902.1,48
902.8,16
903.0,52
903.2,22
904.2,8
909.6,59
910.8,49
911.1,36
911.1,41
911.5,44
911.6,16
911.8,6
911.8,7
911.8,45
912.4,5
912.6,26
913.0,29
913.2,30
913.3,8
913.7,53
914.2,13
918.8,40
918.9,36
919.0,42
919.7,43
920.0,33
920.4,44
920.7,32
920.7,41
920.8,30
920.9,50
921.1,48
921.5,49
921.9,6
922.1,20
922.1,52
922.5,8
922.6,16
923.5,5
923.8,7
923.9,59
925.5,60
929.8,40
930.3,22
931.1,42
931.2,30
931.3,44
931.4,7
931.6,29
931.8,36
932.1,41
932.2,49
932.5,48
932.6,20
932.8,26
933.1,32
933.1,33
933.8,28
934.0,24
934.4,52
934.5,7
934.5,59
934.9,8
935.1,53
936.2,16
941.7,42
942.0,41
942.0,45
942.7,49
942.9,50
943.0,30
943.0,44
944.0,29
944.4,32
944.5,20
944.6,59
944.8,7
945.2,8
945.3,26
945.8,22
946.3,24
947.3,6
947.3,60
948.7,16
953.3,41
953.4,50
953.6,42
953.8,6
953.9,30
953.9,44
954.1,33
954.1,36
955.0,49
955.6,28
955.8,20
955.9,25
956.3,22
956.3,32
956.9,7
957.1,53
957.6,6
963.4,42
964.4,41
964.7,44
965.4,6
965.4,36
966.2,33
966.6,30
966.7,32
967.2,20
967.6,53
967.6,59
967.8,52
968.5,7
970.6,16
975.4,42
975.7,48
975.9,50
976.0,49
976.2,45
976.3,22
976.5,44
978.0,30
978.9,7
979.0,6
979.1,20
979.1,53
979.3,8
979.7,59
982.5,7
985.0,32
985.3,29
986.3,36
986.7,37
986.8,42
986.9,41
987.1,44
987.4,50
987.5,28
987.7,33
988.0,21
988.1,8
988.3,13
988.7,49
989.3,53
990.3,16
990.5,20
991.9,7
997.2,32
997.7,30
997.9,22
998.6,44
998.6,45
998.8,7
998.8,11
998.9,33
998.9,49
999.2,29
999.3,50
1000.0,6
1000.7,3
1000.8,53
1001.1,20
1007.6,36
1008.6,50
1008.8,29
1009.2,32
1010.7,44
1011.0,13
1011.0,60
1011.1,35
1011.1,50
1011.5,49
1011.9,53
1012.7,7
1013.1,59
1014.4,6
1015.2,7
1015.7,29
1016.3,20
1018.9,32
1019.7,40
1020.2,41
1020.3,50
1020.7,44
1020.8,8
1023.0,49
1023.0,53
1023.4,29
1023.5,50
1023.8,7
1026.5,16
1027.0,22
1029.8,36
1029.9,29
1031.2,32
1031.3,41
1031.5,50
1031.9,42
1032.4,13
1032.5,44
1033.8,60
1034.6,7
1037.2,7
1038.0,8
1038.2,20
1039.6,29
1039.9,22
1040.3,13
1042.1,43
1042.3,41
1042.6,32
1042.6,44
1042.9,50
1043.5,36
1044.7,52
1044.7,53
1044.9,49
1045.4,8
1046.6,59
1047.0,7
1048.7,13
1049.7,16
1049.9,29
1051.8,25
1051.8,30
1052.2,41
1054.1,32
1054.4,44
1054.4,50
1054.8,36
1056.9,8
1057.2,53
1058.5,7
1059.3,6
1060.2,29
1061.4,16
1061.9,22
1062.8,41
1065.3,41
1065.8,44
1065.9,24
1066.1,29
1066.6,32
1067.5,30
1069.1,7
1070.3,53
1072.3,59
1074.1,16
1074.7,41
1076.9,36
1077.7,32
1078.1,50
1078.5,30
1079.7,44
1079.8,7
1080.5,8
1080.9,5
1080.9,13
1081.4,22
1082.3,7
1082.7,6
1085.2,41
1087.3,50
1087.9,49
1088.5,44
1089.1,41
1089.6,36
1089.7,29
1090.2,32
1090.4,50
1090.5,53
1091.1,43
1092.2,7
1092.7,59
1093.2,6
1094.7,18
1100.8,30
