spiketime,electrodes
2155.0,7
4151.0,54
5363.5,22
5365.4,49
5365.6,41
5372.4,34
5375.6,42
5378.1,45
5379.4,36
5379.6,49
5379.7,41
5379.7,48
5382.8,30
5383.0,24
5383.1,45
5383.2,31
5383.8,36
5384.8,41
5385.4,26
5385.5,6
5385.9,7
5387.2,32
5387.7,41
5388.1,36
5388.2,30
5388.3,50
5388.7,6
5388.8,28
5389.7,18
5390.6,60
5390.8,48
5391.1,41
5391.2,8
5393.8,19
5393.9,22
5394.2,8
5394.4,49
5394.9,6
5395.5,44
5396.5,29
5397.6,20
5398.3,47
5398.4,44
5398.7,40
5398.7,41
5399.9,6
5400.8,16
5400.8,19
5401.1,28
5401.2,49
5402.2,45
5403.4,29
5404.1,44
5404.2,25
5404.5,41
5404.7,45
5406.0,13
5406.5,6
5407.0,29
5407.4,30
5407.5,28
5408.1,41
5408.2,50
5408.4,48
5408.5,44
5408.7,59
5409.2,22
5409.2,26
5409.3,20
5409.6,6
5409.7,25
5409.8,33
5409.9,29
5410.2,36
5411.0,32
5411.1,44
5411.9,35
5412.1,22
5412.2,53
5413.3,41
5413.5,8
5414.1,6
5414.1,49
5414.2,19
5415.2,59
5415.5,12
5415.5,60
5416.9,9
5418.1,19
5418.6,5
5419.0,59
5419.6,50
5420.5,6
5422.1,52
5422.4,47
5422.6,60
5423.0,44
5423.1,11
5424.1,43
5425.1,33
5425.3,18
5425.3,41
5425.4,16
5425.8,8
5425.8,48
5426.2,28
5426.2,30
5426.3,44
5426.6,1
5426.6,19
5426.8,29
5427.8,17
5428.1,6
5428.6,24
5429.7,29
5429.7,33
5429.8,1
5429.8,22
5429.9,18
5430.1,20
5430.7,25
5430.9,8
5432.1,6
5432.3,22
5432.3,23
5432.4,2
5432.9,30
5433.2,7
5433.3,26
5433.5,29
5433.7,9
5434.7,41
5434.8,22
5435.0,6
5435.0,17
5435.1,12
5435.1,36
5435.4,5
5435.9,4
5436.0,8
5437.4,49
5437.7,19
5438.2,59
5438.7,16
5441.5,19
5442.0,47
5443.5,22
5444.3,59
5444.5,19
5444.6,23
5444.9,41
5446.5,4
5447.3,24
5447.4,19
5448.9,6
5450.2,44
5450.6,41
5451.6,43
5451.8,22
5452.0,29
5452.8,8
5454.9,6
5455.9,41
5456.0,19
5456.1,30
5457.0,3
5457.1,1
5458.6,8
5459.2,59
5459.4,9
5459.5,6
5460.2,1
5462.3,41
5462.7,10
5463.8,8
5463.9,11
5464.1,59
5464.3,29
5464.8,23
5466.1,6
5466.3,8
5466.5,12
5467.1,19
5469.9,22
5470.6,9
5477.0,9
5479.6,20
5482.5,17
5482.7,20
5484.5,33
5486.9,8
5487.9,20
5488.5,29
5489.8,6
5492.9,8
5493.8,12
5494.7,29
5495.6,41
5499.2,36
5502.5,19
5509.6,22
5514.6,9
5523.9,6
5531.2,41
5688.7,54
5705.9,49
5708.5,54
5743.8,49
5794.2,6
5874.5,50
5904.9,6
5925.0,22
5934.3,49
5942.3,59
5942.7,37
5949.6,31
5974.5,22
6005.5,21
6171.3,20
6194.2,22
6208.0,22
6212.5,34
6220.6,21
6229.0,22
6229.7,31
6235.4,36
6550.6,54
6976.8,22
7805.3,54
9496.0,5
9629.8,54
9637.1,54
10235.7,54
11051.8,54
11331.5,54
11886.6,54
11964.7,54
12007.2,54
12011.0,54
12817.1,54
13507.4,40
14143.5,54
14680.9,13
14694.5,41
14694.8,60
14698.9,60
14700.5,22
14703.2,22
14703.6,8
14704.5,26
14704.9,41
14705.0,60
14705.5,3
14707.0,6
14707.5,60
14707.8,13
14709.6,41
14709.7,50
14712.6,13
14712.6,22
14712.6,60
14713.4,50
14713.6,4
14714.0,6
14714.3,52
14714.6,5
14714.6,17
14714.8,53
14715.1,59
14715.4,9
14715.5,36
14715.7,29
14715.7,49
14715.9,11
14716.0,50
14716.0,60
14716.2,54
14716.3,41
14716.3,55
14716.8,6
14717.0,34
14717.9,23
14717.9,53
14718.0,1
14718.2,22
14718.2,36
14718.4,8
14719.2,59
14719.4,33
14720.1,13
14720.6,30
14720.8,36
14720.9,12
14720.9,45
14721.0,34
14721.5,28
14721.6,3
14721.7,23
14721.7,60
14721.9,48
14722.0,6
14722.1,4
14722.5,17
14722.7,5
14722.9,59
14723.1,41
14723.2,47
14723.6,25
14723.8,11
14724.1,13
14724.2,16
14724.2,53
14724.4,50
14724.7,22
14725.1,20
14725.1,23
14725.1,33
14725.1,48
14725.2,34
14725.2,54
14725.8,28
14725.9,29
14726.6,8
14727.0,47
14727.1,4
14727.5,17
14727.6,20
14727.7,23
14727.9,49
14728.0,41
14728.6,22
14728.7,46
14729.5,36
14730.1,8
14730.4,18
14730.4,44
14730.5,33
14730.9,26
14731.0,60
